ts,k,cell,gen_tokens,tok_s,acc_pct,tau,ms_step,pos_acc_pct_profile
2026-08-06T10:23Z,20,struct-json-1024,1024,163.0,83.7,16.73,54.2,98/95/93/93/91/91/91/91/91/90/90/89/89/87/87/84/83/75/41/26
2026-08-06T10:23Z,20,struct-csv-1024,1024,305.7,80.8,16.15,55.8,98/93/92/92/90/88/88/88/88/87/87/85/85/82/82/77/73/70/35/35
2026-08-06T10:43Z,10,struct-json-1024,1024,209.0,71.3,7.13,38.9,97/90/77/74/69/67/65/60/58/56
2026-08-06T10:43Z,10,struct-csv-1024,1024,152.5,47.0,4.70,37.1,91/71/56/50/47/41/33/30/28/24
2026-08-06T11:38Z,15,struct-json-1024,1024,217.3,57.4,8.61,44.0,94/89/75/71/65/64/63/57/55/47/45/42/38/31/25
2026-08-06T11:38Z,15,struct-csv-1024,1024,146.2,36.4,5.45,44.0,89/74/60/52/49/39/33/30/28/28/26/19/10/5/3
2026-08-06T11:38Z,15,math-think-2048,2048,152.8,38.1,5.71,43.7,89/80/73/65/57/46/35/28/23/19/17/12/10/8/7
2026-08-06T11:39Z,15,math-nothink-1024,636,161.4,40.7,6.10,43.8,96/84/76/64/53/43/39/34/29/23/20/18/12/10/8
2026-08-06T11:39Z,15,code-nothink-1024,1024,107.2,24.2,3.64,43.0,86/67/45/35/27/21/18/14/12/9/8/8/6/4/3
2026-08-06T11:39Z,15,code-think-2048,2048,88.5,18.9,2.83,43.3,76/56/41/29/22/16/11/9/7/5/4/3/2/1/1
2026-08-06T11:51Z,16,struct-json-1024+triton,1024,207.0,57.9,9.27,49.5,93/89/81/75/70/68/66/57/55/50/48/46/38/35/30/26
2026-08-06T11:51Z,16,struct-csv-1024+triton,1024,204.2,56.7,9.08,49.2,91/83/75/74/72/67/67/61/59/54/47/46/41/32/20/20
2026-08-06T11:58Z,20,struct-json-1024+triton,1024,143.6,41.9,8.39,65.4,93/79/72/69/65/61/60/52/50/36/35/34/31/28/23/18/11/8/7/7
2026-08-06T11:58Z,20,struct-csv-1024+triton,1024,193.6,48.4,9.68,54.5,93/81/74/71/68/64/64/62/61/56/53/52/40/35/24/16/14/14/13/12
2026-08-06T12:04Z,24,struct-json-1024+triton,1024,139.0,37.7,9.06,72.2,92/78/66/62/59/59/58/50/50/36/35/33/31/29/25/25/21/18/16/15/15/14/10/10
