# Native NVFP4 lm_head A/B, k=7 QPN greedy-draft, single-stream, decode-only.
# native = NVIDIA's original lm_head codes/scales loaded per-rank, zero requant
# (offline-verified bf16-exact vs the CT BF16 rendering, lo-first nibbles).
# Byte-diffs vs BF16-head reference: json+extract IDENTICAL; math/csv/prose
# diverge mid-text (numerics-only near-tie flips: same weights, different GEMM
# reduction order). Requant rows from the frozen campaign for comparison.
domain,bf16_head_tok_s,bf16_tau,requant4_tok_s,requant4_tau,native4_tok_s,native4_tau,native_round_ms,bytediff_vs_bf16
prose,72.2,1.45,113.5,2.32,82.3,1.33,28.3,DIFF@807
math,160.2,4.53,184.8,4.57,184.9,4.41,29.2,DIFF@2331
code,142.8,3.81,144.0,3.23,169.8,3.81,28.3,not_captured
json,192.8,5.56,226.6,5.66,229.3,5.56,28.4,IDENTICAL
csv,171.7,4.78,182.8,4.18,201.0,4.72,28.3,DIFF@713
extract,222.4,6.92,263.1,6.92,262.5,6.92,30.0,IDENTICAL
